Driver,Teammate,PointsDelta,QualifyingDelta,RacePaceDelta,PositionDelta
VER,TSU,245.0,-1.64158823529412,0.0653072264380186,-8.5
RUS,ANT,143.0,-0.40238888888888863,-2.8138013145339764,-6.277777777777777
LEC,HAM,53.0,-0.23449999999999782,-0.15855992772933547,-1.333333333333333
ALB,SAI,41.0,0.0877777777777769,-2.2717549923324656,-2.0
HUL,BEA,21.0,-0.7427058823529431,0.8516541872221332,0.6666666666666661
GAS,COL,19.0,-0.21224999999999974,2.79149156165011,-1.666666666666666
PIA,NOR,16.0,-0.08399999999999805,-0.6123276299281324,-0.5555555555555554
ALO,STR,8.0,-1.7772352941176468,-1.416455751708239,-1.2450980392156872
HAD,LAW,8.0,-0.3369444444444451,1.335193289364034,-1.2777777777777768
OCO,BOR,6.0,-0.7788823529411781,0.2683968886713122,-1.1111111111111107
BOR,OCO,-6.0,0.7788823529411781,-0.2683968886713122,1.1111111111111107
STR,ALO,-8.0,1.7772352941176468,1.416455751708239,1.2450980392156872
LAW,HAD,-8.0,0.3369444444444451,-1.335193289364034,1.2777777777777768
NOR,PIA,-16.0,0.08399999999999805,0.6123276299281324,0.5555555555555554
COL,GAS,-19.0,0.21224999999999974,-2.79149156165011,1.666666666666666
DOO,GAS,-19.0,0.4858333333333344,-0.07858665398259035,1.9999999999999982
BEA,HUL,-21.0,0.7427058823529431,-0.8516541872221332,-0.6666666666666661
SAI,ALB,-41.0,-0.0877777777777769,2.2717549923324656,2.0
HAM,LEC,-53.0,0.23449999999999782,0.15855992772933547,1.333333333333333
ANT,RUS,-143.0,0.40238888888888863,2.8138013145339764,6.277777777777777
TSU,VER,-245.0,1.64158823529412,-0.0653072264380186,8.5
